Designator,Quantity,Footprint,Value,Manufactuer Primary Part Number,Alternate Part Number,Description
C1,1,0402 CAPACITOR,220p 50V X5R 402,UMK105BJ221KV-F,CC0402KRX7R9BB221,0402 Capacitor
"C2, C3, C4, C5",4,0402 CAPACITOR,0.1u 16V X7R 402,CL05B104KO5NFNC,CL05B104KO5NFNC,0402 Capacitor
C6,1,0402 CAPACITOR,1u 10V X6S 402,LMK105C6105MV-F,GRM155C81A105KA12D,0402 Capacitor
"C7, C8, C9, C10",4,0402 CAPACITOR,2.2u 10V X5R 402,LMK105BJ225MV-F,GRM155C81E225ME11D,0402 Capacitor
"C11, C12",2,0805 CAPACITOR,47u 10V 0805 X5R,C2012X5R1A476M125A,GRM21BR61A476ME15L,0805 Capacitor
L1,1,XFL4020 INDUCTOR,Inductor Coilcraft XFL,XGL4020-152MEC,,Coilcraft DCR  Shielded Power Inductor
Q1,1,POWERPAK 1212-8S CD DUAL,25V 30A Dual Common Drain MOSFET,SISF02DN-T1-GE3,SISF00DN-T1-GE3,Common Drain Dual N-Channel MOSFET
R1,1,1206 RESISTOR,20mR 1206 1% 1W,"	LVT12R0200FER",,1206 Metal Element Resistor
R2,1,0402 RESISTOR,100R 1% 402,RC0402FR-07100RL,,0402 1% Resistor
"R3, R4, R5, R6",4,0402 RESISTOR,10k 1% 402,RC0402FR-0710KL,,0402 1% Resistor
R7,1,0402 RESISTOR,51k 1% 402,RC0402FR-0751KL,,0402 1% Resistor
"R8, R9, R10, R11",4,0402 RESISTOR,100k 1% 402,RC0402FR-07100KL,,0402 1% Resistor
R12,1,0402 RESISTOR,249k 1% 402,RC0402FR-07249KL,,0402 1% Resistor
R13,1,0402 RESISTOR,392k 1% 402,RC0402FR-07392KL,,0402 1% Resistor
U1,1,VSON14 DSJ 4X3MM,Switching Regulator TPS63020,TPS63020DSJR,,4A Synchronous Buck Boost Converter TI
U2,1,QFN 20M1,ATTINY1634 QFN20 4X4mm,ATTINY1634-MU-ND,,8-bit Atmel tinyAVR 16kB Flash
U3,1,SC70-6,Op Amp LTC2066,LTC2066ISC6#TRMPBF,,SC70-6 Op Amp with Shutdown
U4,1,SC70-5,Temperature Sensor MCP9700A,MCP9700AT-E/LT,,Low-Power Linear Active Thermistor IC
U5,1,SOT23-5,Regulator TPS706 SOT23,TPS70625DBVR,,TPS706 SOT23-5 Voltage Regulator
U6,1,QFN4 FT MICREL,MIC5019 Nfet Driver,MIC5019YFT-TR,,High Side N FET Driver with Charge Pump
